CMDLINE /Users/ronniejoshua/anaconda3/bin/python using_memory_profiler.py
MEM 0.011719 1603717129.1225
MEM 16.437500 1603717129.2236
MEM 26.468750 1603717129.3257
MEM 48.699219 1603717129.4272
MEM 49.851562 1603717129.5276
MEM 49.851562 1603717129.6306
MEM 49.851562 1603717129.7347
MEM 49.851562 1603717129.8392
MEM 49.851562 1603717129.9402
MEM 49.851562 1603717130.0406
MEM 49.851562 1603717130.1412
MEM 49.851562 1603717130.2461
MEM 49.851562 1603717130.3512
MEM 49.851562 1603717130.4540
MEM 49.851562 1603717130.5542
MEM 49.851562 1603717130.6545
MEM 49.851562 1603717130.7552
MEM 49.851562 1603717130.8602
MEM 49.851562 1603717130.9619
MEM 49.851562 1603717131.0625
MEM 49.851562 1603717131.1654
MEM 49.851562 1603717131.2682
MEM 49.851562 1603717131.3733
MEM 49.851562 1603717131.4766
MEM 49.851562 1603717131.5817
MEM 49.851562 1603717131.6841
MEM 49.851562 1603717131.7864
MEM 49.851562 1603717131.8871
MEM 49.851562 1603717131.9922
MEM 49.851562 1603717132.0973
MEM 49.851562 1603717132.2024
MEM 49.851562 1603717132.3027
MEM 49.851562 1603717132.4079
MEM 49.851562 1603717132.5106
MEM 49.851562 1603717132.6158
MEM 49.851562 1603717132.7209
MEM 49.851562 1603717132.8260
MEM 49.851562 1603717132.9297
MEM 49.851562 1603717133.0311
MEM 49.851562 1603717133.1333
MEM 49.851562 1603717133.2340
MEM 49.851562 1603717133.3347
MEM 49.851562 1603717133.4372
MEM 49.851562 1603717133.5381
MEM 49.851562 1603717133.6384
MEM 49.851562 1603717133.7392
MEM 49.851562 1603717133.8416
MEM 49.851562 1603717133.9450
MEM 49.851562 1603717134.0500
MEM 49.851562 1603717134.1516
MEM 49.851562 1603717134.2518
MEM 49.851562 1603717134.3532
MEM 49.851562 1603717134.4535
MEM 49.851562 1603717134.5585
MEM 49.851562 1603717134.6635
MEM 49.851562 1603717134.7637
MEM 49.851562 1603717134.8671
MEM 49.851562 1603717134.9721
MEM 49.851562 1603717135.0766
MEM 49.851562 1603717135.1781
MEM 49.851562 1603717135.2814
MEM 49.851562 1603717135.3849
MEM 49.851562 1603717135.4900
MEM 49.851562 1603717135.5914
MEM 49.851562 1603717135.6924
MEM 49.851562 1603717135.7964
MEM 49.851562 1603717135.8981
MEM 49.851562 1603717136.0009
MEM 49.851562 1603717136.1010
MEM 49.851562 1603717136.2022
MEM 49.851562 1603717136.3065
MEM 49.851562 1603717136.4116
MEM 49.851562 1603717136.5166
MEM 49.851562 1603717136.6187
MEM 49.851562 1603717136.7231
MEM 49.851562 1603717136.8278
MEM 49.851562 1603717136.9326
MEM 49.851562 1603717137.0346
MEM 49.851562 1603717137.1397
MEM 49.851562 1603717137.2420
MEM 49.851562 1603717137.3471
MEM 49.851562 1603717137.4477
MEM 49.851562 1603717137.5528
MEM 49.851562 1603717137.6576
MEM 49.851562 1603717137.7580
MEM 49.851562 1603717137.8590
MEM 49.851562 1603717137.9592
MEM 49.851562 1603717138.0594
MEM 49.851562 1603717138.1596
MEM 49.851562 1603717138.2643
MEM 49.851562 1603717138.3646
MEM 49.851562 1603717138.4666
MEM 49.851562 1603717138.5673
MEM 49.851562 1603717138.6683
MEM 49.851562 1603717138.7703
MEM 49.851562 1603717138.8730
MEM 49.851562 1603717138.9732
MEM 49.851562 1603717139.0755
MEM 49.851562 1603717139.1805
MEM 49.851562 1603717139.2809
MEM 49.851562 1603717139.3812
MEM 49.851562 1603717139.4815
MEM 49.851562 1603717139.5858
MEM 49.851562 1603717139.6909
MEM 49.851562 1603717139.7960
MEM 49.851562 1603717139.9012
MEM 49.851562 1603717140.0049
MEM 49.851562 1603717140.1080
MEM 49.851562 1603717140.2111
MEM 49.851562 1603717140.3132
MEM 49.851562 1603717140.4133
MEM 49.851562 1603717140.5157
MEM 49.851562 1603717140.6187
MEM 49.851562 1603717140.7233
MEM 49.851562 1603717140.8263
MEM 49.851562 1603717140.9315
MEM 49.851562 1603717141.0366
MEM 49.851562 1603717141.1387
MEM 49.851562 1603717141.2400
MEM 49.851562 1603717141.3401
MEM 49.851562 1603717141.4411
MEM 49.851562 1603717141.5462
MEM 49.851562 1603717141.6503
MEM 49.851562 1603717141.7524
MEM 49.851562 1603717141.8541
MEM 49.851562 1603717141.9562
MEM 49.851562 1603717142.0593
MEM 49.851562 1603717142.1633
MEM 49.851562 1603717142.2667
MEM 49.851562 1603717142.3672
MEM 49.851562 1603717142.4704
MEM 49.851562 1603717142.5708
MEM 49.851562 1603717142.6733
MEM 49.851562 1603717142.7775
MEM 49.851562 1603717142.8790
MEM 49.851562 1603717142.9841
MEM 49.851562 1603717143.0868
MEM 49.851562 1603717143.1876
MEM 49.851562 1603717143.2879
MEM 49.851562 1603717143.3909
MEM 49.851562 1603717143.4933
MEM 49.851562 1603717143.5983
MEM 49.851562 1603717143.7033
MEM 49.851562 1603717143.8037
MEM 49.851562 1603717143.9087
MEM 49.851562 1603717144.0105
MEM 49.851562 1603717144.1123
